doi,annotated_solvent,extracted_solvent,annotated_compound,extracted_compound,solvent_score,compound_score,combined_score
10.1039/c2dt32134c,CH2Cl2,CH2Cl2,"2,5-Bis[4-(dimethylamino)phenyl]pyrrole","2,5-Bis[4-(dimethylamino)phenyl]pyrrole",1,1,1
10.1039/c2dt32134c,toluene,toluene,"N-(Dimesitylboryl)-2,5-di(2-thienyl)pyrrole","N-(Dimesitylboryl)-2,5-di(2-thienyl)pyrrole",1,1,1
10.1039/c2dt32134c,toluene / hexane,toluene / hexane,"N-(Dimesitylboryl)-2,3,4,5-tetraphenylpyrrole","N-(Dimesitylboryl)-2,3,4,5-tetraphenylpyrrole",1,1,1
10.1039/c2dt32134c,hexane,hexane,"N-(Dimesitylboryl)-2,5-bis(4-dimethylaminophenyl)pyrrole",dimesitylfluoroborane,1,0,0
10.1039/c2dt32134c,hexane,NONE,"N-(Dimesitylboryl)-2,5-diphenylpyrrole",NONE,0,0,0
10.1039/C4GC01832J,DMF and water,DMF and water,5 or 7 or 9 or 11,amines,1,0,0
10.1039/b814500h,DCM and hexane,DCM and hexane,3,4-bromobenzoyl chloride,1,0,0
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,"'N-(3-Acetyl-3,4-dihydro-2H-chromen-4-yl)-4-methylbenzenesulfonamide","N-(3-Acetyl-3,4-dihydro-2H-chromen-4-yl)-4-methylbenzenesulfonamide",1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,2-(2-Methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,2-(2-Methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,1,1,1
10.1039/b814500h,EtOAc / PE,EtOAc / PE,N-(1-(2-Hydroxy-3-methoxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonami,N-(1-(2-Hydroxy-3-methoxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonami,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,2-Methoxy-6-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,2-Methoxy-6-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,1,1,1
10.1039/b814500h,EtOAc / PE,EtOAc / PE,N-(1-(2-Hydroxy-4-methoxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonami,N-(1-(2-Hydroxy-4-methoxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonami,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,5-Methoxy-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,5-Methoxy-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,N-(1-(2-Hydroxy-5-methoxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonami,N-(1-(2-Hydroxy-5-methoxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonami,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,Methoxy-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,Methoxy-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,N-[2-Acetyl-1-(2-hydroxy-5-methylphenyl)-allyl]-4-methylbenzenesulfonamide,N-[2-Acetyl-1-(2-hydroxy-5-methylphenyl)-allyl]-4-methylbenzenesulfonamide,1,1,1
10.1039/b814500h,EtOAc / PE,EtOAc / PE,4-Methyl-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,4-Methyl-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,N-(1-(5-Bromo-2-hydroxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonamide,N-(1-(5-Bromo-2-hydroxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonamide,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,4-Bromo-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,4-Bromo-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,"N-(1-(3,5-Dichloro-2-hydroxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfona","N-(1-(3,5-Dichloro-2-hydroxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfona",1,1,1
10.1039/b814500h,EtOAc / PE,EtOAc / PE,"2,4-Dichloro-6-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate","2,4-Dichloro-6-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate",1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,N-(1-(5-Chloro-2-hydroxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonamide,N-(1-(5-Chloro-2-hydroxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonamide,1,1,1
10.1039/b814500h,EtOAc / PE,EtOAc / PE,4-Chloro-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,4-Chloro-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,5-fluoro-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,5-fluoro-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,N-(1-(2-Hydroxyphenyl)-2-methylene-3-oxopentyl)-4-methylbenzenesulfonamid,N-(1-(2-Hydroxyphenyl)-2-methylene-3-oxopentyl)-4-methylbenzenesulfonamid,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,2-(2-Methylene-1-(4-methylphenylsulfonamido)-3-oxopentyl)phenyl acetate,2-(2-Methylene-1-(4-methylphenylsulfonamido)-3-oxopentyl)phenyl acetate,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,N-(1-(2-Hydroxy-3-methoxyphenyl)-2-methylene-3-oxopentyl)-4-methylbenzenesulfonam,N-(1-(2-Hydroxy-3-methoxyphenyl)-2-methylene-3-oxopentyl)-4-methylbenzenesulfonam,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,2-Methoxy-6-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxopentyl)phenyl acetate,2-Methoxy-6-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxopentyl)phenyl acetate,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,N-(1-(2-Hydroxy-5-methoxyphenyl)-2-methylene-3-oxopentyl)-4-methylbenzenesulfonam,N-(1-(2-Hydroxy-5-methoxyphenyl)-2-methylene-3-oxopentyl)-4-methylbenzenesulfonam,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,4-Methoxy-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxopentyl)phenyl acetate,acetate,1,0,0
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,N-(1-(5-Bromo-2-hydroxyphenyl)-2-methylene-3-oxopentyl)-4-methylbenzenesulfonamid,N-(1-(5-Bromo-2-hydroxyphenyl)-2-methylene-3-oxopentyl)-4-methylbenzenesulfonamid,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,4-Bromo-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxopentyl)phenyl acetate,4-Bromo-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxopentyl)phenyl acetate,1,1,1
10.1039/b814500h,EtOAc / PE,NONE,N-(1-(4-fluoro-2-hydroxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonamide,NONE,1,0,0
10.1039/C9TC00720B,hexane,hexane,3-methylphenothiazine,N H,1,0,0
10.1039/C9TC00720B,toluene,toluene,"2,8-dibromo-3,7-diisopropyldibenzothiophene",Br,1,0,0
10.1002/chem.201201527,EtOAc,EtOAc,silylcycloheptatriene 4b and triazolinedione,silylcycloheptatriene 4b and triazolinedione,1,1,1
10.1039/C7RA09401A,toluene,toluene,"6,12-Dihydroindeno[1,2-b]fluorene",hydrazine monohydrate,1,0,0
10.1039/C7RA09401A,ethanol,ethanol,Methyl-IF,silica,1,0,0
10.1039/C7RA09401A,chlorobenzene,chlorobenzene, tBuPh-IF,NaCl,1,0,0
10.1039/C7RA09401A,ethanol,ethanol,Butyl-MIF,1-iodobutane,1,0,0
10.1039/C7RA09401A,DMF,DMF,Hexyl-MIF,1-bromohexane,1,0,0
10.1039/C7RA09401A,DMF,DMF,Octyl-MIF,1-bromooctane,1,0,0
10.1039/C7RA09401A,ethanol,ethanol,"f Dimethyl-2,5-diphenylterephthalate",silica gel,1,0,0
10.1039/C7RA09401A,ethanol,NONE,Hexyl-IF,NONE,0,0,0
10.1039/C7RA09401A,ethanol,NONE,Butyl-IF,NONE,0,0,0
10.1039/C7RA09401A,ethanol,NONE,Octyl-IF,NONE,0,0,0
10.1039/C7RA09401A,n - hexanes,NONE,2-Fluorenyl methylbenzoate,NONE,0,0,0
10.1039/C7RA09401A,nhex / PhMe,NONE,Methyl-MIF,NONE,0,0,0
10.1039/c2ce26244d,ethyl acetate or ethanol,ethanol,1 or 2,picolinamide,1,0,0
10.1002/chem.201602805,CH2Cl2 / Et2O,CH2Cl2 / Et2O,Mes2BBCl2(CAACMe) ,benzene,1,0,0
10.1002/chem.201602805,CH2Cl2 / Et2O,NONE,Dur2BBCl2(CAACMe),NONE,0,0,0
10.1002/chem.201202739,ethanol,ethanol,"1,3-dibromo-2-iodobenzene","1,3-dibromo-2-iodobenzene",1,1,1
10.1002/chem.201202739,ethyl acetate,ethyl acetate,2â€™-Bromo-2-chloro-6-(p-tolylsulfinyl)biphenyl,2â€™-Bromo-2-chloro-6-(p-tolylsulfinyl)biphenyl,1,1,1
10.1002/chem.201202739,methanol,methanol,"(R)-2',6-Dibromobiphenyl-2-carbaldehyde","(R)-2',6-Dibromobiphenyl-2-carbaldehyde",1,1,1
10.1002/chem.201202739,methanol,methanol,(R)-2'-Bromo-6-chlorobiphenyl-2-carbaldehyde,(R)-2'-Bromo-6-chlorobiphenyl-2-carbaldehyde,1,1,1
10.1002/chem.201202739,methanol,methanol,"2,2â€™,6-tribromobiphenyl","2,2â€™,6-tribromobiphenyl",1,1,1
10.1002/chem.201202739,ethyl acetate or diethyl ether,ethyl acetate,"2,2â€™-Dibromo-6-(p-tolylsulfinyl)biphenyl","2,2â€™-Dibromo-6-(p-tolylsulfinyl)biphenyl",1,1,1
10.1002/chem.201202739,methanol,methanol,"2,2â€™-dibromo-6-chloro-biphenyl","2,2â€™-dibromo-6-chloro-biphenyl",1,1,1
10.1039/C9OB02363A,methylene chloride / hexane,methylene chloride / hexane,3-Amino-6-fluoro-2H-chromen-2-one,[11] 3-Amino-6-fluoro-2H-chromen-2-one,1,1,1
10.1039/C9OB02363A,methylene chloride / hexane,methylene chloride / hexane,4,2-Amino-3H-benzo[f]chromen-3-one,1,0,0
10.1039/C9OB02363A,methylene chloride / hexane,methylene chloride / hexane,"3-(4-Methoxyphenyl)-1,4-dihydro-6H-furo[3,4-b]pyrrol-6-one","3-(4-Methoxyphenyl)-1,4-dihydro-6H-furo[3,4-b]pyrrol-6-one",1,1,1
10.1039/C9OB02363A,chloroform / mTBE,chloroform,"1-(3,4-Dimethoxyphenyl)-7,8-dimethoxychromeno[3,4-b]pyrrol-4(3H)-one","1-(3,4-Dimethoxyphenyl)-7,8-dimethoxychromeno[3,4-b]pyrrol-4(3H)-one",0,1,0
10.1039/c002454f,EtOH,EtOH,mesityl(2-nitrophenyl)methanone,NH2,1,0,0
10.1039/C3OB42152J,CH2Cl2,CH2Cl2,m-CPBA,N2,1,0,0
10.1039/C3OB42152J,hexanes,hexanes,"syn-3,4,5,6-Tetrachlorotetracyclo[6.2.2.23,6.02,7]tetradeca-4,9-diene",dry-ice,1,0,0
10.1039/C3OB42152J,hexanes,hexanes,"all-syn-1,8,15,16-Tetrachlorohexacyclo[6.6.2.23,6.210,13.02,7.09,14]icosa-4,11,15-triene",Dodecatriene,1,0,0
10.1039/C3OB42152J,hexanes,hexanes,"9,10-Epoxy-3,4,5,6-tetrachlorotetracyclo[6.2.2.23,6.02,7]tetradec-4-ene ",Na2S2O3,1,0,0
10.1039/C3OB42152J,hexanes : Et2O,hexanes,"3,4,5,6-Tetrachloro-10-oxopentacyclo[6.2.2.23,6.02,7.05,9]tetradecane",Tritwistane,0,0,0
10.1039/C3OB42152J,hexane,NONE,"Pentacyclo[6.2.2.23,6.02,7.05,9]tetradecan-4-one",NONE,0,0,0
10.1039/C3OB42152J,hexanes,NONE,"Bromination of syn-3,4,5,6-Tetrachlorotetracyclo[6.2.2.23,6.02,7]tetradeca-4,9-diene",NONE,0,0,0
10.1039/C3OB42152J,hexanes,NONE,"Bromination of syn-3,4,5,6-Tetracyclo[6.2.2.23,6.02,7]tetradeca-4,9-diene",NONE,0,0,0
10.1039/C9CC01092K,acetone,acetone,DMTS,S T A R e S W,1,0,0
10.1002/chem.201202908,methanol,methanol,"(R)-6-Methoxy-4-(nitromethyl)-2,3,4,9-tetrahydro-1H-carbazole","(R)-6-Methoxy-4-(nitromethyl)-2,3,4,9-tetrahydro-1H-carbazole",1,1,1
10.1002/chem.201202908,benzene,benzene,"(R)-6-Chloro-4-(nitromethyl)-2,3,4,9-tetrahydro-1H-carbazole","(R)-8-Methyl-4-(nitromethyl)-2,3,4,9-tetrahydro-1H-carbazole",1,0,0
10.1002/chem.201202908,methanol,methanol,"(R)-6-Methyl-4-(nitromethyl)-2,3,4,9-tetrahydro-1H-carbazole",N H,1,0,0
10.1002/chem.201302126,CH3CN / H2O,CH3CN / H2O,"3-([1,2,4]Triazolo[4,3-b][1,2,4,5]tetazin-6-ylamino)-4-(2,2,2-trinitroethylamino)furazan","3-([1,2,4]Triazolo[4,3-b][1,2,4,5]tetazin-6-ylamino)-4-(2,2,2-trinitroethylamino)furazan",1,1,1
10.1002/chem.201302126,CF3CO2H / H2O,NONE,"3-Methyl-4-(2,2,2-trinitroethylamino)furazan",NONE,0,0,0
10.1002/chem.201302126,CF3CO2H / H2O,NONE,"3-Cyano-4-(2,2,2-trinitroethylamino)furazan",NONE,0,0,0
10.1002/chem.201302126,CF3CO2H / H2O,NONE,"3,4-Bis(2,2,2-trinitroethylamino)furazan",NONE,0,0,0
10.1039/C5TC03737A,toluene,toluene,"4,4â€²-BPy-4Cl",S 6,1,0,0
10.1039/C9TC02477H,ethyl acetate,ethyl acetate,"10-(4-(4,6-diphenyl-1,3,5-triazin-2-yl)phenyl)-10H-phenoselenazine ",Se,1,0,0
10.1039/D0TB00470G,acetonitrile,acetonitrile,"7,7-Bis(n-hexylamino)-8,8-dicyanoquinodimethane",BHADQ,1,1,1
10.1039/D0TB00470G,acetonitrile,NONE,"7,7-Bis(n-pentylamino)-8,8-dicyanoquinodimethane",NONE,0,0,0
10.1039/D0TB00470G,acetonitrile,NONE,"(7,7-Bis(n-heptylamino)-8,8-dicyanoquinodimethane)",NONE,0,0,0
10.1039/C9CC06914C,Et2O,Et2O,(Ph2CNN(PPh2)(BMes2)),N B O O,1,0,0
10.1039/C9CC06914C,Et2O,NONE,FluorenylNN(PPh2)(BMes2),NONE,0,0,0
10.1039/C9CC06914C,Et2O,NONE,((EtOOC)CNN(PPh2)(BMes2)) ,NONE,0,0,0
10.1039/C9CC06914C,Et2O,NONE,Ph2CNN(PPh2)(Bcat)),NONE,0,0,0
10.1039/C9CC06914C,Et2O,NONE,FluorenylNN(PPh2)(Bpin)) ,NONE,0,0,0
10.1039/C9CC06914C,Et2O,NONE,(EtOOC)CNN(PPh2)(Bpin),NONE,0,0,0
10.1039/C9CC06914C,Et2O,NONE, ((EtOOC)CNN(PtBu2)(Bpin)) ,NONE,0,0,0
10.1002/anie.200902029,MeOH / benzene,MeOH / benzene,9d,OH,1,0,0
10.1039/C5CE01156F,ethanol - water,ethanol - water,2-(5-isopropyl-2-methylphenoxy) acetohydrazide,ethanol,1,0,0
10.1039/C5CE01156F,ethyl acetate / hexane,ethyl acetate / hexane,f 1-(benzoyl)-3-[(5â€™-isopropyl-2â€™-methylphenoxy)acetamino]thiourea,IR Data,1,0,0
10.1039/C2TC00805J,2-propanol,2-propanol,"2,7-Dibromo-3,6-di-n-hexyl-benzo[1,2-b:6,5-b']dithiophene-4,5-dione","2,7-Bis-pentafluorobenzoyl-benzo[1,2-b:6,5-bâ€™]dithiophene-4,5-bis-(ethyleneoxolane)",1,0,0
10.1039/C2TC00805J,"1,4-dioxane","1,4-dioxane","2,7-Bis-(3,4,5-trifluorobenzoyl)-benzo[1,2-b:6,5-b]dithiophene-4,5-dione","2,7-Bis-(3,4,5-trifluorobenzoyl)-benzo[1,2-b:6,5-bâ€™]dithiophene-4,5-dione",1,1,1
10.1039/C2TC00805J,toluene,toluene,image,"2,7-bis-(thiophen-2-oyl)-benzo[1,2-d:4,3-d']bis(thiazole)-4,5-dione",1,0,0
10.1039/C2TC00805J,2-propanol,2-propanol,"2,7-Bis-(5-n-nonyl-thiophen-2-yl)-benzo[1,2-b:6,5-b]dithiophene-4,5-bis-(ethyloxolane) ",S104,1,0,0
10.1039/C2TC00805J,2-propanol,2-propanol,"4,4'-Dibromo-2,2'-bis(4-hexyl-5-(trimethylsilyl)thiophen-2-yl)-5,5'-bithiazole",2-(4-n-Hexyl-5-trimethylsilylthiophen-2-yl)-5-bromo-thiazole,1,0,0
10.1039/C2TC00805J,2-propanol,2-propanol,"2-Bromo-7-pentafluorobenzoyl-benzo[1,2-b:6,5-b']dithiophene-4,5-bis-","2-Bromo-7-pentafluorobenzoyl-benzo[1,2-b:6,5-b']dithiophene-4,5-bis-",1,1,1
10.1039/C2TC00805J,2-propanol,2-propanol,"2,7-Bis-triisopropylsilyl-benzo[1,2-d:4,3-d']bis(thiazole)-4,5-bis-(1,3-dioxolane)","2,7-Bis-triisopropylsilyl-benzo[1,2-d:4,3-d']bis(thiazole)-4,5-bis-(1,3-dioxolane)",1,1,1
10.1039/C2TC00805J,toluene,toluene,"2,7-Bis-(thiophen-2-yl)-benzo[1,2-b:6,5-bâ€™]dithiophene-4,5-bis-(ethyloxolane)","2,7-Bis-(thiophen-2-yl)-benzo[1,2-b:6,5-bâ€™]dithiophene-4,5-bis-(ethyloxolane)",1,1,1
10.1039/C2TC00805J,toluene - hexanes,toluene - hexanes,"2,7-Difluoro-benzo[1,2-b:6,5-b']dithiophene-4,5-bis-(ethyloxolane)","2,7-Difluoro-benzo[1,2-b:6,5-b']dithiophene-4,5-bis-(ethyloxolane)",1,1,1
10.1039/C2TC00805J,2-propanol,2-propanol,"2,7-Bis-trimethylsilyl-3,6-di-n-hexyl-benzo[1,2-b:6,5-b']dithiophene-4,5-dione","2,7-Bis-trimethylsilyl-3,6-di-n-hexyl-benzo[1,2-b:6,5-b']dithiophene-4,5-dione",1,0,0
10.1039/C2TC00805J,ethanol,ethanol,"2,7-Bis-(4-trifluoromethylbenzoyl)-benzo[1,2-d:4,3-d']bis(thiazole)-4,5-bis-(1,3-dioxolane)",N-methoxy-N-methyl-4-(trifluoromethyl)benzamide,1,0,0
10.1039/C2TC00805J,2-propanol,2-propanol,"2,7-Bis-(3,4,5-trifluorobenzoyl)-benzo[1,2-d:4,3-d']bis(thiazole)-4,5-bis-(1,3-dioxolane)","2,7-Bis-(3,4,5-trifluorobenzoyl)-benzo[1,2-d:4,3-d']bis(thiazole)-4,5-bis-(1,3-dioxolane)",1,1,1
10.1039/C2TC00805J,2-propanol,2-propanol,"2,7-Bis-(4-n-hexylthiophen-2-yl)-benzo[1,2-b:6,5-bâ€™]dithiophene-4,5-dione","2,7-Bis-(4-n-hexylthiophen-2-yl)-benzo[1,2-b:6,5-bâ€™]dithiophene-4,5-dione",1,1,1
10.1039/C2TC00805J,chloroform or toluene,toluene,"2,7-Diiodo-benzo[1,2-b:6,5-b']dithiophene-4,5-dione","2,7-Diiodo-benzo[1,2-b:6,5-b']dithiophene-4,5-dione",1,1,1
